Date, Close/Last, Volume, Open, High, Low
05/29/2020, $1428.92, 1838059, $1416.94, $1432.57, $1413.35
05/28/2020, $1416.73, 1693976, $1396.86, $1440.84, $1396
05/27/2020, $1417.84, 1686142, $1417.25, $1421.74, $1391.29
05/26/2020, $1417.02, 2060643, $1437.27, $1441, $1412.13
05/22/2020, $1410.42, 1309408, $1396.71, $1412.76, $1391.83
05/21/2020, $1402.8, 1385194, $1408, $1415.49, $1393.45
05/20/2020, $1406.72, 1655375, $1389.58, $1410.42, $1387.25
05/19/2020, $1373.485, 1280649, $1386.997, $1392, $1373.485
05/18/2020, $1383.94, 1823964, $1361.75, $1392.325, $1354.25
05/15/2020, $1373.19, 1707747, $1350, $1374.48, $1339
05/14/2020, $1356.13, 1603077, $1335.02, $1357.42, $1323.91
05/13/2020, $1349.33, 1812585, $1377.05, $1385.4822, $1328.4
05/12/2020, $1375.74, 1390600, $1407.12, $1415, $1374.77
05/11/2020, $1403.26, 1412116, $1378.28, $1416.53, $1377.152
05/08/2020, $1388.37, 1388068, $1383.13, $1398.76, $1375.48
05/07/2020, $1372.56, 1399759, $1365.94, $1377.6, $1355.27
05/06/2020, $1347.3, 1215423, $1361.69, $1371.1199, $1347.29
05/05/2020, $1351.11, 1651533, $1337.92, $1373.94, $1337.46
05/04/2020, $1326.8, 1504017, $1308.23, $1327.66, $1299
05/01/2020, $1320.61, 2072639, $1328.5, $1352.0695, $1311
